CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
37;;13;DIM;3;62.0
37;21;;DIM;0;62.0
37;22;;DIM;0;62.0
37;101;;DIM;0;62.0
37;102;;DIM;0;62.0
37;103;;DIM;0;62.0
37;104;;DIM;0;62.0
37;105;;DIM;0;62.0
37;106;;DIM;0;62.0
37;107;;DIM;0;62.0
37;108;;DIM;0;62.0
37;109;;DIM;0;62.0
37;110;;DIM;0;62.0
37;;201;DIM;0;62.0
38;;11;DIM;36.5;222.0
39;1;;DIM;30;115.0
39;2;;DIM;30;115.0
39;3;;DIM;30;115.0
39;4;;DIM;30;115.0
39;5;;DIM;30;115.0
39;6;;DIM;30;115.0
39;;1;DIM;20;115.0
39;;2;DIM;20;115.0
39;;3;DIM;20;115.0
39;;4;DIM;20;115.0
39;;6;DIM;20;115.0
39;;11;DIM;0;115.0
40;1;;DIM;0;335.0
40;2;;DIM;0;335.0
40;3;;DIM;0;335.0
40;4;;DIM;0;335.0
40;5;;DIM;0;335.0
40;6;;DIM;0;335.0
40;;1;DIM;0;335.0
40;;2;DIM;0;335.0
40;;3;DIM;0;335.0
40;;4;DIM;10;335.0
40;;6;DIM;10;335.0
40;;11;DIM;0;335.0
41;1;;DIM;0;311.0
41;2;;DIM;0;311.0
41;3;;DIM;0;311.0
41;4;;DIM;10;311.0
41;5;;DIM;10;311.0
41;6;;DIM;10;311.0
41;;1;DIM;0;311.0
41;;2;DIM;0;311.0
41;;3;DIM;0;311.0
41;;4;DIM;5;311.0
41;;5;DIM;0;311.0
41;;6;DIM;5;311.0
41;;12;DIM;0;311.0
41;;13;DIM;0;311.0
42;1;;DIM;30;386.0
42;2;;DIM;30;386.0
42;3;;DIM;30;386.0
42;4;;DIM;30;386.0
42;5;;DIM;30;386.0
42;6;;DIM;30;386.0
42;;1;DIM;10;386.0
42;;2;DIM;10;386.0
42;;3;DIM;10;386.0
42;;4;DIM;10;386.0
42;;6;DIM;10;386.0
43;1;;DIM;0;26.0
43;2;;DIM;0;26.0
43;3;;DIM;0;26.0
43;4;;DIM;0;26.0
43;5;;DIM;0;26.0
43;6;;DIM;0;26.0
43;;1;DIM;0;26.0
43;;2;DIM;0;26.0
43;;3;DIM;0;26.0
43;;4;DIM;0;26.0
43;;5;DIM;30;26.0
43;;6;DIM;0;26.0
43;;12;DIM;7;26.0
43;;13;DIM;4;26.0
44;;161;DIM;100;148.0
46;;161;DIM;0;369.0
47;;1;DIM;0;197.0
47;;2;DIM;0;197.0
47;;3;DIM;0;197.0
47;;4;DIM;0;197.0
47;;5;DIM;0;197.0
47;;6;DIM;0;197.0
47;;12;DIM;0;197.0
47;;13;DIM;0;197.0
