CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime
12;42;;DIM;37;275.0
12;43;;DIM;37;275.0
12;44;;DIM;37;275.0
12;45;;DIM;37;275.0
12;46;;DIM;37;275.0
12;47;;DIM;37;275.0
12;48;;DIM;0;275.0
12;49;;DIM;0;275.0
12;50;;DIM;0;275.0
12;51;;DIM;0;275.0
12;52;;DIM;18.5;275.0
12;53;;DIM;26;275.0
12;54;;DIM;31.5;275.0
12;55;;DIM;0;275.0
12;56;;DIM;0;275.0
12;57;;DIM;0;275.0
12;58;;DIM;0;275.0
12;59;;DIM;0;275.0
12;60;;DIM;0;275.0
12;61;;DIM;0;275.0
12;62;;DIM;0;275.0
12;63;;DIM;0;275.0
12;64;;DIM;0;275.0
12;73;;DIM;0;275.0
12;65;;DIM;0;275.0
12;66;;DIM;0;275.0
12;67;;DIM;0;275.0
12;;100;DIM;11;275.0
12;;101;DIM;0;275.0
12;;102;DIM;0;275.0
12;;103;DIM;0;275.0
12;;104;DIM;0;275.0
12;;105;DIM;11;275.0
12;;110;DIM;0;275.0
12;;111;DIM;0;275.0
12;;112;DIM;0;275.0
12;;113;DIM;0;275.0
12;;114;DIM;0;275.0
12;;115;DIM;0;275.0
12;68;;DIM;0;275.0
12;69;;DIM;29;275.0
12;70;;DIM;0;275.0
12;71;;DIM;29;275.0
12;72;;DIM;0;275.0
12;231;;DIM;0;275.0
12;232;;DIM;0;275.0
12;233;;DIM;0;275.0
12;234;;DIM;0;275.0
12;235;;DIM;0;275.0
13;;101;DIM;11.5;321.0
14;;101;DIM;0;326.0
15;1;;DIM;30;203.0
15;2;;DIM;30;203.0
15;3;;DIM;30;203.0
15;4;;DIM;30;203.0
15;5;;DIM;30;203.0
15;6;;DIM;0;203.0
15;7;;DIM;0;203.0
15;8;;DIM;0;203.0
15;9;;DIM;0;203.0
15;10;;DIM;0;203.0
15;11;;DIM;21;203.0
15;12;;DIM;21;203.0
15;13;;DIM;21;203.0
15;14;;DIM;21;203.0
15;15;;DIM;21;203.0
15;16;;DIM;21;203.0
15;17;;DIM;21;203.0
15;18;;DIM;21;203.0
15;19;;DIM;27.5;203.0
15;20;;DIM;27.5;203.0
15;21;;DIM;27.5;203.0
15;22;;DIM;27.5;203.0
15;23;;DIM;27.5;203.0
15;24;;DIM;27.5;203.0
15;25;;DIM;27.5;203.0
15;26;;DIM;27.5;203.0
15;27;;DIM;0;203.0
15;28;;DIM;0;203.0
15;29;;DIM;0;203.0
15;30;;DIM;0;203.0
15;31;;DIM;0;203.0
15;32;;DIM;0;203.0
15;33;;DIM;0;203.0
15;34;;DIM;37;203.0
15;35;;DIM;37;203.0
15;36;;DIM;37;203.0
15;37;;DIM;37;203.0
15;38;;DIM;37;203.0
15;39;;DIM;37;203.0
15;40;;DIM;37;203.0
15;41;;DIM;37;203.0
15;42;;DIM;37;203.0
15;43;;DIM;37;203.0
15;44;;DIM;37;203.0
15;45;;DIM;37;203.0
15;46;;DIM;37;203.0
15;47;;DIM;37;203.0
15;48;;DIM;0;203.0
15;49;;DIM;0;203.0
15;50;;DIM;0;203.0
15;51;;DIM;0;203.0
15;52;;DIM;8.5;203.0
15;53;;DIM;26;203.0
15;54;;DIM;31.5;203.0
15;55;;DIM;0;203.0
15;56;;DIM;0;203.0
15;57;;DIM;0;203.0
15;58;;DIM;0;203.0
15;59;;DIM;0;203.0
15;60;;DIM;0;203.0
15;61;;DIM;0;203.0
15;62;;DIM;0;203.0
15;63;;DIM;0;203.0
15;64;;DIM;0;203.0
15;73;;DIM;0;203.0
15;65;;DIM;0;203.0
15;66;;DIM;0;203.0
15;67;;DIM;0;203.0
15;;100;DIM;11;203.0
15;;101;DIM;0;203.0
15;;102;DIM;0;203.0
15;;103;DIM;0;203.0
15;;104;DIM;0;203.0
15;;105;DIM;11;203.0
15;;110;DIM;0;203.0
15;;111;DIM;0;203.0
15;;112;DIM;0;203.0
